,,index,recordType,id,ox,oy,dx,dy,origin,destination,departure_time,tripDate,destCity,dest,Traffic_model,Distance,Durations_sec,Step_dist,Summary,duration_in_traffic,step_duration,step_end_loc,step_html,step_start_loc
3200_0,0,3200,TAZ,140,45.3748285461,-93.1707352638,44.948164,-93.09143399999999,"[45.3748285461, -93.1707352638]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,64353.0,2667.0,271.0,I-35E S,3706.0,51.0,"{'lat': 45.37517, 'lng': -93.176301}",Head west on Tippecanoe St NE toward 223rd Ave NE,"{'lat': 45.373325, 'lng': -93.17464299999999}"
3200_0,1,3200,TAZ,140,45.3748285461,-93.1707352638,44.948164,-93.09143399999999,"[45.3748285461, -93.1707352638]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,284.0,,,46.0,"{'lat': 45.3744698, 'lng': -93.1797167}",Turn left onto 223rd Ave NE,"{'lat': 45.37517, 'lng': -93.176301}"
3200_0,2,3200,TAZ,140,45.3748285461,-93.1707352638,44.948164,-93.09143399999999,"[45.3748285461, -93.1707352638]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,1250.0,,,102.0,"{'lat': 45.3851161, 'lng': -93.1831186}",Turn right onto E Bethel Blvd NE/City Rd 15,"{'lat': 45.3744698, 'lng': -93.1797167}"
3200_0,3,3200,TAZ,140,45.3748285461,-93.1707352638,44.948164,-93.09143399999999,"[45.3748285461, -93.1707352638]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,5281.0,,,213.0,"{'lat': 45.38462759999999, 'lng': -93.1155208}",Turn right onto 229th Ave NE,"{'lat': 45.3851161, 'lng': -93.1831186}"
3200_0,4,3200,TAZ,140,45.3748285461,-93.1707352638,44.948164,-93.09143399999999,"[45.3748285461, -93.1707352638]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,1740.0,,,99.0,"{'lat': 45.381026, 'lng': -93.0950761}",Continue onto 227th Ave NE,"{'lat': 45.38462759999999, 'lng': -93.1155208}"
3200_0,5,3200,TAZ,140,45.3748285461,-93.1707352638,44.948164,-93.09143399999999,"[45.3748285461, -93.1707352638]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,2131.0,,,143.0,"{'lat': 45.3644943, 'lng': -93.085961}",Continue onto Martin Lake Rd NE,"{'lat': 45.381026, 'lng': -93.0950761}"
3200_0,6,3200,TAZ,140,45.3748285461,-93.1707352638,44.948164,-93.09143399999999,"[45.3748285461, -93.1707352638]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,7268.0,,,317.0,"{'lat': 45.336461, 'lng': -93.006064}",Turn left onto Viking Blvd NE,"{'lat': 45.3644943, 'lng': -93.085961}"
3200_0,7,3200,TAZ,140,45.3748285461,-93.1707352638,44.948164,-93.09143399999999,"[45.3748285461, -93.1707352638]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,13250.0,,,451.0,"{'lat': 45.2223748, 'lng': -93.02908049999999}",Turn right to merge onto I-35 S toward St Paul,"{'lat': 45.336461, 'lng': -93.006064}"
3200_0,8,3200,TAZ,140,45.3748285461,-93.1707352638,44.948164,-93.09143399999999,"[45.3748285461, -93.1707352638]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,22711.0,,,720.0,"{'lat': 45.0354544, 'lng': -93.0851797}",Keep left at the fork to continue on I-35E S,"{'lat': 45.2223748, 'lng': -93.02908049999999}"
3200_0,9,3200,TAZ,140,45.3748285461,-93.1707352638,44.948164,-93.09143399999999,"[45.3748285461, -93.1707352638]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,8747.0,,,312.0,"{'lat': 44.958709, 'lng': -93.09089759999999}",Keep left at the fork to stay on I-35E S,"{'lat': 45.0354544, 'lng': -93.0851797}"
3200_0,10,3200,TAZ,140,45.3748285461,-93.1707352638,44.948164,-93.09143399999999,"[45.3748285461, -93.1707352638]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",pessimistic,,,583.0,,,30.0,"{'lat': 44.9535633, 'lng': -93.09073719999999}",Take exit 107A on the left for 10th St/Wacouta St,"{'lat': 44.958709, 'lng': -93.09089759999999}"
